date	title	desc
2026-05-08	FDA approves zenocutuzumab-zbco for advanced, unresectable or metastatic cholangiocarcinoma	On May 8, 2026, the Food and Drug Administration approved zenocutuzumab-zbco (Bizengri, Partner Therapeutics, Inc.) for adults with advanced, unresectable or metastatic cholangiocarcinoma harboring a neuregulin 1 (NRG1) gene fusion with disease progression on or after prior systemic therapy. NRG1-fusion positive cholangiocarcinoma is an extremely rare, life-threatening malignancy.
2026-05-01	FDA approves vepdegestrant for ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer	On May 1, 2026, the Food and Drug Administration approved vepdegestrant (Veppanu, Arvinas Operations, Inc.), a heterobifunctional protein degrader, for adults with estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative, ESR1 -mutated advanced or metastatic breast cancer, as detected by an FDA-authorized test, with disease progression following at least one line of endocrine therapy.
2026-03-25	FDA approves relacorilant with nab-paclitaxel for platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer	On March 25, 2026, the Food and Drug Administration approved relacorilant (Lifyorli, Corcept Therapeutics Inc.), a glucocorticoid receptor antagonist, in combination with nab-paclitaxel for the treatment of adults with platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer who have received one to three prior systemic treatment regimens, at least one of which included bevacizumab.
2026-03-20	FDA approves nivolumab with chemotherapy for previously untreated Hodgkin lymphoma	On March 20, 2026, the Food and Drug Administration approved nivolumab (Opdivo, Bristol Myers Squibb Company) with doxorubicin, vinblastine, and dacarbazine (AVD) for adult and pediatric patients 12 years and older with previously untreated, Stage III or IV classical Hodgkin lymphoma (cHL).
2026-03-05	FDA approves teclistamab in combination with daratumumab hyaluronidase-fihj for relapsed or refractory multiple myeloma	On March 5, 2026, the Food and Drug Administration approved teclistamab (Tecvayli, Janssen Biotech, Inc.) in combination with daratumumab hyaluronidase-fihj for adult patients with relapsed or refractory multiple myeloma who have received at least one prior line of therapy including a proteasome inhibitor and an immunomodulatory agent.
2026-02-26	FDA grants accelerated approval to zongertinib for unresectable or metastatic non-squamous non-small cell lung cancer	On February 26, 2026, the Food and Drug Administration granted accelerated approval to zongertinib (Hernexeos, Boehringer Ingelheim Pharmaceuticals, Inc.), a kinase inhibitor, for an expanded indication for adults with unresectable or metastatic non-squamous non-small cell lung cancer (NSCLC) whose tumors have HER2 (ERBB2) tyrosine kinase domain (TKD) activating mutations, as detected by an FDA-authorized test.
2026-02-24	FDA grants traditional approval to encorafenib for metastatic colorectal cancer with a BRAF V600E mutation	On February 24, 2026, the Food and Drug Administration granted traditional approval to encorafenib (Braftovi, Array BioPharma Inc., a subsidiary of Pfizer Inc.) in combination with cetuximab and fluorouracil-based chemotherapy for the treatment of adult patients with metastatic colorectal cancer (CRC) with a BRAF V600E mutation, as detected by an FDA-authorized test. Encorafenib received accelerated approval in combination with cetuximab and mFOLFOX6 for metastatic colorectal cancer with BRAF V600E mutation in 2024.
2026-02-19	FDA approves acalabrutinib with venetoclax for chronic lymphocytic leukemia or small lymphocytic lymphoma	On February 19, 2026, the Food and Drug Administration approved acalabrutinib (Calquence, AstraZeneca) tablets and capsules in combination with venetoclax (Venclexta, AbbVie Inc. and Genentech Inc.) for adults with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).
2026-02-10	FDA approves pembrolizumab with paclitaxel for platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal carcinoma	On February 10, 2026, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) as well as pembrolizumab and berahyaluronidase alfa-pmph (Keytruda Qlex, Merck) in combination with paclitaxel, with or without bevacizumab, for adult patients with platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal carcinoma whose tumors express PD-L1 (CPS≥1) as determined by an FDA-authorized test, and who have received one or two prior systemic treatment regimens.
2026-02-05	Safety labeling update for capecitabine and fluorouracil (5-FU) on risks associated with dihydropyrimidine dehydrogenase (DPD) deficiency	The U.S. Food and Drug Administration (FDA) is providing this communication to increase awareness of recent updates to the product labeling of capecitabine (Xeloda) and fluorouracil (5-FU) related to risks associated with dihydropyrimidine dehydrogenase (DPD) deficiency. All healthcare providers should be aware of the risks of DPD deficiency, inform patients prior to treatment about the potential for serious and life-threatening toxicities due to DPD deficiency, and test patients for genetic variants of DPYD prior to initiating treatment with capecitabine or 5-FU unless immediate treatment is necessary.
2026-01-27	FDA approves daratumumab and hyaluronidase-fihj with bortezomib, lenalidomide, and dexamethasone for newly diagnosed multiple myeloma	On January 27, 2026, the Food and Drug Administration approved daratumumab and hyaluronidase-fihj (Darzalex Faspro, Janssen Biotech, Inc.) in combination with bortezomib, lenalidomide, and dexamethasone (VRd) for adults with newly diagnosed multiple myeloma who are ineligible for autologous stem cell transplant (ASCT).
2025-12-17	FDA approves amivantamab and hyaluronidase-lpuj for subcutaneous injection	On December 17, 2025, the Food and Drug Administration approved amivantamab and hyaluronidase-lpuj (Rybrevant Faspro, Janssen Biotech, Inc.) for subcutaneous injection for adult patients across all indications approved for the intravenous formulation of amivantamab (Rybrevant, Janssen Biotech, Inc.). See the prescribing information for the specific indications.
2025-12-17	FDA grants regular approval to rucaparib for metastatic castration-resistant prostate cancer	On December 17, 2025, the Food and Drug Administration approved rucaparib (Rubraca, pharmaand GmbH) for adults with a deleterious BRCA mutation ( BRCA m) (germline and/or somatic)-associated metastatic castration-resistant prostate cancer (mCRPC) previously treated with an androgen receptor-directed therapy. Patients should be selected for therapy using an FDA-approved companion diagnostic (CDx).
2025-12-15	FDA approves fam-trastuzumab deruxtecan-nxki with pertuzumab for unresectable or metastatic HER2-positive breast cancer	On December 15, 2025, the Food and Drug Administration approved fam-trastuzumab deruxtecan-nxki (Enhertu, Daiichi Sankyo, Inc.) in combination with pertuzumab for the first-line treatment of adults with unresectable or metastatic HER2-positive (IHC 3+ or ISH+) breast cancer as determined by an FDA-approved test.
2025-12-12	FDA approves niraparib and abiraterone acetate plus prednisone for BRCA2-mutated metastatic castration-sensitive prostate cancer	On December 12, 2025, the Food and Drug Administration approved niraparib and abiraterone acetate (Akeega, Janssen Biotech, Inc.) with prednisone for adults with deleterious or suspected deleterious BRCA2-mutated (BRCA2m) metastatic castration-sensitive prostate cancer (mCSPC), as determined by an FDA-approved test.
2025-12-04	FDA approves lisocabtagene maraleucel for relapsed or refractory marginal zone lymphoma	On December 4, 2025, the Food and Drug Administration approved lisocabtagene maraleucel (Breyanzi, Juno Therapeutics, Inc., a Bristol-Myers Squibb Company) for adults with relapsed or refractory marginal zone lymphoma (MZL) who have received at least two prior lines of systemic therapy
2025-12-03	FDA grants traditional approval to pirtobrutinib for chronic lymphocytic leukemia and small lymphocytic lymphoma	On December 3, 2025, the Food and Drug Administration granted traditional approval to pirtobrutinib (Jaypirca, Eli Lilly and Company) for adults with relapsed or refractory chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL) who have previously been treated with a covalent BTK inhibitor. In 2023, FDA granted accelerated approval to pirtobrutinib for adults with CLL/SLL who have received at least two prior lines of therapy, including a BTK inhibitor and a BCL-2 inhibitor.
2025-11-25	FDA approves durvalumab for resectable gastric or gastroesophageal junction adenocarcinoma	On November 25, 2025, the Food and Drug Administration approved durvalumab (Imfinzi, AstraZeneca) with fluorouracil, leucovorin, oxaliplatin, and docetaxel (FLOT) chemotherapy as neoadjuvant and adjuvant treatment, followed by single agent durvalumab, for adults with resectable gastric or gastroesophageal junction adenocarcinoma (GC/GEJC).
2025-11-21	FDA approves pembrolizumab with enfortumab vedotin-ejfv for muscle invasive bladder cancer	On November 21, 2025, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) or pembrolizumab and berahyaluronidase alfa-pmph (Keytruda Qlex, Merck) with enfortumab vedotin-ejfv (Padcev, Astellas Pharma) as neoadjuvant treatment followed by adjuvant treatment after cystectomy for adults with muscle invasive bladder cancer (MIBC) who are ineligible for cisplatin.
2025-11-19	FDA grants traditional approval to tarlatamab-dlle for extensive stage small cell lung cancer	On November 19, 2025, the Food and Drug Administration granted traditional approval to tarlatamab-dlle (Imdelltra, Amgen Inc.) for adults with extensive stage small cell lung cancer (ES-SCLC) with disease progression on or after platinum-based chemotherapy. Tarlatamab-dlle received accelerated approval for this indication in 2024.
2025-11-19	FDA grants accelerated approval to sevabertinib for non-squamous non-small cell lung cancer	On November 19, 2025, the Food and Drug Administration granted accelerated approval to sevabertinib (Hyrnuo, Bayer HealthCare Pharmaceuticals Inc.), a kinase inhibitor, for adults with locally advanced or metastatic, non-squamous non-small cell lung cancer (NSCLC) whose tumors have HER2 ( ERBB2 ) tyrosine kinase domain (TKD) activating mutations, as detected by an FDA-approved test, and who have received a prior systemic therapy.
2025-11-19	FDA grants traditional approval to daratumumab and hyaluronidase-fihj for newly diagnosed light chain amyloidosis	On November 19, 2025, the Food and Drug Administration granted traditional approval to daratumumab and hyaluronidase-fihj (Darzalex Faspro, Janssen Biotech Inc.) with bortezomib, cyclophosphamide, and dexamethasone (VCd) for newly diagnosed light chain (AL) amyloidosis. FDA granted accelerated approval for this indication in 2021.
2025-11-19	FDA approves selumetinib for adults with neurofibromatosis type 1 with symptomatic, inoperable plexiform neurofibromas	On November 19, 2025, the Food and Drug Administration approved selumetinib (KOSELUGO, AstraZeneca Pharmaceuticals LP) for adults with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN). FDA previously approved selumetinib capsules and granules for pediatric patients 1 year of age and older for this indication.
2025-11-18	FDA approves epcoritamab-bysp for follicular lymphoma indications	On November 18, 2025, the Food and Drug Administration approved epcoritamab-bysp (Epkinly, Genmab US, Inc.) with lenalidomide and rituximab for relapsed or refractory follicular lymphoma (FL). The FDA also granted traditional approval to epcoritamab-bysp as monotherapy for relapsed or refractory FL after two or more lines of systemic therapy (epcoritamab-bysp was granted accelerated approval for this indication in 2024).
2025-11-13	FDA approves new interchangeable biosimilar to Perjeta	On November 13, 2025, the Food and Drug Administration approved Poherdy (pertuzumab-dpzb, Shanghai Henlius Biologics Co. Ltd.) as an interchangeable biosimilar to Perjeta (pertuzumab, Genentech Inc.). This is the first approval of a biosimilar for Perjeta.
2025-11-13	FDA approves ziftomenib for relapsed or refractory acute myeloid leukemia with a NPM1 mutation	On November 13, 2025, the Food and Drug Administration approved ziftomenib (Komzifti, Kura Oncology, Inc.), a menin inhibitor, for adults with relapsed or refractory acute myeloid leukemia (AML) with a susceptible nucleophosmin 1 ( NPM1 ) mutation who have no satisfactory alternative treatment options.
2025-11-06	FDA approves daratumumab and hyaluronidase-fihj for high-risk smoldering multiple myeloma	On November 6, 2025, the Food and Drug Administration approved daratumumab and hyaluronidase-fihj (Darzalex Faspro, Janssen Biotech, Inc.) for adults with high-risk smoldering multiple myeloma (SMM).
2025-10-24	FDA approves revumenib for relapsed or refractory acute myeloid leukemia with a susceptible NPM1 mutation	On October 24, 2025, the Food and Drug Administration approved revumenib (Revuforj, Syndax Pharmaceuticals, Inc.), a menin inhibitor, for relapsed or refractory acute myeloid leukemia with a susceptible nucleophosmin 1 ( NPM1 ) mutation in adult and pediatric patients 1 year and older who have no satisfactory alternative treatment options.
2025-10-23	FDA approves belantamab mafodotin-blmf for relapsed or refractory multiple myeloma	On October 23, 2025, the Food and Drug Administration approved belantamab mafodotin-blmf (Blenrep, GlaxoSmithKline), a B-cell maturation antigen (BCMA)-directed antibody and microtubule inhibitor conjugate, with bortezomib and dexamethasone for adults with relapsed or refractory multiple myeloma who have received at least two prior lines of therapy, including a proteasome inhibitor and an immunomodulatory agent.
2025-10-08	FDA approves cemiplimab-rwlc for adjuvant treatment of cutaneous squamous cell carcinoma	On October 8, 2025, the Food and Drug Administration approved cemiplimab-rwlc (Libtayo, Regeneron Pharmaceuticals Inc.) for the adjuvant treatment of adults with cutaneous squamous cell carcinoma (CSCC) at high risk of recurrence after surgery and radiation.
2025-10-02	FDA approves lurbinectedin in combination with atezolizumab or atezolizumab and hyaluronidase-tqjs for extensive-stage small cell lung cancer	On October 2, 2025, the Food and Drug Administration approved lurbinectedin (Zepzelca, Jazz Pharmaceuticals, Inc.) in combination with atezolizumab (Tecentriq, Genentech Inc.) or atezolizumab and hyaluronidase-tqjs (Tecentriq Hybreza, Genentech Inc.) for the maintenance treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC) whose disease has not progressed after first-line induction therapy with atezolizumab or atezolizumab and hyaluronidase-tqjs, carboplatin, and etoposide.
2025-09-25	FDA approves imlunestrant for ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer	On September 25, 2025, the Food and Drug Administration approved imlunestrant (Inluriyo, Eli Lilly and Company), an estrogen receptor antagonist, for adults with estrogen receptor (ER)-positive, human epidermal growth factor 2 (HER2)-negative, estrogen receptor-1 (ESR1)-mutated advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy.
2025-09-19	FDA approves pembrolizumab and berahyaluronidase alfa-pmph for subcutaneous injection	On September 19, 2025, the Food and Drug Administration approved pembrolizumab and berahyaluronidase alfa-pmph (Keytruda Qlex, Merck) for subcutaneous injection for adult and pediatric (12 years and older) solid tumor indications approved for the intravenous formulation of pembrolizumab (Keytruda, Merck). See the prescribing information for the specific indications.
2025-09-10	FDA approves selumetinib for pediatric patients 1 year of age and older with neurofibromatosis type 1 with symptomatic, inoperable plexiform neurofibromas	On September 10, 2025, the Food and Drug Administration approved selumetinib (KOSELUGO, AstraZeneca Pharmaceuticals LP) granules and capsules for pediatric patients 1 year of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN). FDA previously approved selumetinib capsules for pediatric patients 2 years of age and older with NF1 who have symptomatic, inoperable PN.
2025-09-09	FDA approves gemcitabine intravesical system for non-muscle invasive bladder cancer	On September 9, 2025, the Food and Drug Administration approved gemcitabine intravesical system (Inlexzo, Janssen Biotech, Inc.) for adults with Bacillus Calmette-Guérin (BCG)-unresponsive non-muscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS) with or without papillary tumors. Gemcitabine intravesical system is co-packaged with a urinary catheter and stylet used for insertion through the urinary catheter into the bladder.
2025-08-08	FDA grants accelerated approval to zongertinib for non-squamous NSCLC with HER2 TKD activating mutations	On August 8, 2025, the Food and Drug Administration granted accelerated approval to zongertinib (Hernexeos, Boehringer Ingelheim Pharmaceuticals, Inc.), a kinase inhibitor, for adults with unresectable or metastatic non-squamous non-small cell lung cancer (NSCLC) whose tumors have HER2 (ERBB2) tyrosine kinase domain (TKD) activating mutations, as detected by an FDA-approved test, and who have received prior systemic therapy.
2025-08-06	FDA grants accelerated approval to dordaviprone for diffuse midline glioma	On August 6, 2025, the Food and Drug Administration granted accelerated approval to dordaviprone (Modeyso, Jazz Pharmaceuticals, Inc.), a protease activator, for adult and pediatric patients 1 year of age and older with diffuse midline glioma harboring an H3 K27M mutation with progressive disease following prior therapy.
2025-07-02	FDA grants accelerated approval to sunvozertinib for metastatic non-small cell lung cancer with EGFR exon 20 insertion mutations	On July 2, 2025, the Food and Drug Administration granted accelerated approval to sunvozertinib (Zegfrovy, Dizal (Jiangsu) Pharmaceutical Co., Ltd.) for adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 20 insertion mutations, as detected by an FDA-approved test, whose disease has progressed on or after platinum-based chemotherapy.
2025-07-02	FDA grants accelerated approval to linvoseltamab-gcpt for relapsed or refractory multiple myeloma	On July 2, 2025, the Food and Drug Administration granted accelerated approval to linvoseltamab-gcpt (Lynozyfic, Regeneron Pharmaceuticals, Inc.), a bispecific B-cell maturation antigen (BCMA)-directed CD3 T-cell engager, for adults with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy, including a proteasome inhibitor (PI), an immunomodulatory agent (IMiD), and an anti-CD38 monoclonal antibody.
2025-06-23	FDA grants accelerated approval to datopotamab deruxtecan-dlnk for EGFR-mutated non-small cell lung cancer	On June 23, 2025, the Food and Drug Administration granted accelerated approval to datopotamab deruxtecan-dlnk (Datroway, Daiichi Sankyo, Inc.) for adults with locally advanced or metastatic epidermal growth factor receptor (EGFR)-mutated non-small cell lung cancer (NSCLC) who have received prior EGFR-directed therapy and platinum-based chemotherapy.
2025-06-18	FDA approves tafasitamab-cxix for relapsed or refractory follicular lymphoma	On June 18, 2025, the Food and Drug Administration approved tafasitamab-cxix (Monjuvi, Incyte Corporation) with lenalidomide and rituximab for adults with relapsed or refractory follicular lymphoma (FL).
